Disease,Screening test,Study ID,TP,FP,FN,TN,N,Sensitivity,Specificity,PPV,NPV,% TP,% FP,% FN,% TN,Source
Colorectal cancer,FIT,Kim 2017,10,477,5,14420,14912,66.7%,96.8%,2.1%,100.0%,0.1%,3.2%,0.0%,96.7%,https://www.ncbi.nlm.nih.gov/books/NBK570913/
Colorectal cancer,FIT,Park 2010,12,75,1,682,770,92.3%,90.1%,13.8%,99.9%,1.6%,9.7%,0.1%,88.6%,https://www.ncbi.nlm.nih.gov/books/NBK570913/
Colorectal cancer,FIT,Redwood 2016,8,52,2,599,661,80.0%,92.0%,13.3%,99.7%,1.2%,7.9%,0.3%,90.6%,https://www.ncbi.nlm.nih.gov/books/NBK570913/
Colorectal cancer,FIT,Shapiro 2017,0,28,2,917,947,0.0%,97.0%,0.0%,99.8%,0.0%,3.0%,0.2%,96.8%,https://www.ncbi.nlm.nih.gov/books/NBK570913/
Colorectal cancer,gFOBT,Ahlquist 2008,9,106,3,2379,2497,75.0%,95.7%,7.8%,99.9%,0.4%,4.2%,0.1%,95.3%,https://www.ncbi.nlm.nih.gov/books/NBK570913/
Colorectal cancer,gFOBT,Shapiro 2017,1,16,1,988,1006,50.0%,98.4%,5.9%,99.9%,0.1%,1.6%,0.1%,98.2%,https://www.ncbi.nlm.nih.gov/books/NBK570913/
Colorectal cancer,sDNA-FIT,Bosch 2019,6,152,1,855,1014,85.7%,84.9%,3.8%,99.9%,0.6%,15.0%,0.1%,84.3%,https://www.ncbi.nlm.nih.gov/books/NBK570913/
Colorectal cancer,sDNA-FIT,Imperiale 2014,60,1552,5,8372,9989,92.3%,84.4%,3.7%,99.9%,0.6%,15.5%,0.1%,83.8%,https://www.ncbi.nlm.nih.gov/books/NBK570913/
Colorectal cancer,sDNA-FIT,Redwood 2016,10,86,0,565,661,100.0%,86.8%,10.4%,100.0%,1.5%,13.0%,0.0%,85.5%,https://www.ncbi.nlm.nih.gov/books/NBK570913/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012a,23,0,0,2266,2289,100.0%,100.0%,100.0%,100.0%,1.0%,0.0%,0.0%,99.0%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012b,27,2,1,418,448,96.4%,99.5%,93.1%,99.8%,6.0%,0.4%,0.2%,93.3%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012a,22,0,1,2246,2269,95.7%,100.0%,100.0%,100.0%,1.0%,0.0%,0.0%,99.0%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012a,21,4,2,2241,2268,91.3%,99.8%,84.0%,99.9%,0.9%,0.2%,0.1%,98.8%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012b,26,2,1,421,450,96.3%,99.5%,92.9%,99.8%,5.8%,0.4%,0.2%,93.6%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012b,26,3,2,407,438,92.9%,99.3%,89.7%,99.5%,5.9%,0.7%,0.5%,92.9%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Stewart 2012,36,0,4,2194,2234,90.0%,100.0%,100.0%,99.8%,1.6%,0.0%,0.2%,98.2%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Gaydos 2013,12,0,0,1116,1128,100.0%,100.0%,100.0%,100.0%,1.1%,0.0%,0.0%,98.9%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Stewart 2012,39,0,1,2194,2234,97.5%,100.0%,100.0%,100.0%,1.7%,0.0%,0.0%,98.2%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Gaydos 2013,12,1,0,1119,1132,100.0%,99.9%,92.3%,100.0%,1.1%,0.1%,0.0%,98.9%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012b,22,0,6,422,450,78.6%,100.0%,100.0%,98.6%,4.9%,0.0%,1.3%,93.8%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012a,22,1,1,2268,2292,95.7%,100.0%,95.7%,100.0%,1.0%,0.0%,0.0%,99.0%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012a,23,1,0,2255,2279,100.0%,100.0%,95.8%,100.0%,1.0%,0.0%,0.0%,98.9%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012a,23,3,0,2246,2272,100.0%,99.9%,88.5%,100.0%,1.0%,0.1%,0.0%,98.9%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012b,27,2,0,421,450,100.0%,99.5%,93.1%,100.0%,6.0%,0.4%,0.0%,93.6%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012b,23,2,5,414,444,82.1%,99.5%,92.0%,98.8%,5.2%,0.5%,1.1%,93.2%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Gaydos 2013,11,1,1,1123,1136,91.7%,99.9%,91.7%,99.9%,1.0%,0.1%,0.1%,98.9%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Chernesky 2005,110,21,0,710,841,100.0%,97.1%,84.0%,100.0%,13.1%,2.5%,0.0%,84.4%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Taylor 2012,7,0,0,465,472,100.0%,100.0%,100.0%,100.0%,1.5%,0.0%,0.0%,98.5%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012b,11,4,0,469,484,100.0%,99.2%,73.3%,100.0%,2.3%,0.8%,0.0%,96.9%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Taylor 2012,7,0,0,465,472,100.0%,100.0%,100.0%,100.0%,1.5%,0.0%,0.0%,98.5%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012b,12,4,0,492,508,100.0%,99.2%,75.0%,100.0%,2.4%,0.8%,0.0%,96.9%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012b,12,0,0,480,492,100.0%,100.0%,100.0%,100.0%,2.4%,0.0%,0.0%,97.6%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Chernesky 2005,100,4,10,730,844,90.9%,99.5%,96.2%,98.6%,11.8%,0.5%,1.2%,86.5%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012b,12,3,0,502,517,100.0%,99.4%,80.0%,100.0%,2.3%,0.6%,0.0%,97.1%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Taylor 2012,7,0,0,465,472,100.0%,100.0%,100.0%,100.0%,1.5%,0.0%,0.0%,98.5%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Taylor 2012,7,0,0,465,472,100.0%,100.0%,100.0%,100.0%,1.5%,0.0%,0.0%,98.5%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Taylor 2012,7,1,0,464,472,100.0%,99.8%,87.5%,100.0%,1.5%,0.2%,0.0%,98.3%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012b,12,4,0,501,517,100.0%,99.2%,75.0%,100.0%,2.3%,0.8%,0.0%,96.9%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Van Der Pol 2012b,12,1,1,497,511,92.3%,99.8%,92.3%,99.8%,2.3%,0.2%,0.2%,97.3%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Gonorrhea,NAAT (gonorrhea),Gaydos 2013,5,1,0,1126,1132,100.0%,99.9%,83.3%,100.0%,0.4%,0.1%,0.0%,99.5%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Hepatitis B,HBsAg,McCready 1991,1773,218,39,9954,11984,97.8%,97.9%,89.1%,99.6%,14.8%,1.8%,0.3%,83.1%,https://pubmed.ncbi.nlm.nih.gov/1752314/
Hepatitis B,HBsAg,Toplikar 1993,78,2,1,564,645,98.7%,99.6%,97.5%,99.8%,12.1%,0.3%,0.2%,87.4%,https://pubmed.ncbi.nlm.nih.gov/8277356/
Hepatitis C,Anti-HCV antibody,Couroucé 1994,401,0,0,2099,2500,100.0%,100.0%,100.0%,100.0%,16.0%,0.0%,0.0%,84.0%,https://pubmed.ncbi.nlm.nih.gov/11264728/
Hepatitis C,Anti-HCV antibody,Huber 1996,107,30,7,946,1090,93.9%,96.9%,78.1%,99.3%,9.8%,2.8%,0.6%,86.8%,https://www.acpjournals.org/doi/full/10.7326/0003-4819-140-6-200403160-00014
Hepatitis C,Anti-HCV antibody,Janot 1994,127,0,4,8,139,96.9%,100.0%,100.0%,66.7%,91.4%,0.0%,2.9%,5.8%,https://pubmed.ncbi.nlm.nih.gov/11264728/
Hepatitis C,Anti-HCV antibody,Lavanchy 1996,20,0,0,43,63,100.0%,100.0%,100.0%,100.0%,31.7%,0.0%,0.0%,68.3%,https://pubmed.ncbi.nlm.nih.gov/11264728/
Hepatitis C,Anti-HCV antibody,Prince 1997,51,3,0,247,301,100.0%,98.8%,94.4%,100.0%,16.9%,1.0%,0.0%,82.1%,https://www.acpjournals.org/doi/full/10.7326/0003-4819-140-6-200403160-00014
Hepatitis C,Anti-HCV antibody,Stuyver 1996,12,0,0,33,45,100.0%,100.0%,100.0%,100.0%,26.7%,0.0%,0.0%,73.3%,https://pubmed.ncbi.nlm.nih.gov/11264728/
HIV,Antigen/antibody,Bentsen 2011,1340,7,0,6089,7436,100.0%,99.9%,99.5%,100.0%,18.0%,0.1%,0.0%,81.9%,https://stacks.cdc.gov/view/cdc/23447
HIV,Antigen/antibody,Bentsen 2011,40,1,0,959,1000,100.0%,99.9%,97.6%,100.0%,4.0%,0.1%,0.0%,95.9%,https://stacks.cdc.gov/view/cdc/23447
HIV,Antigen/antibody,Chavez 2011,3384,38,2,7513,10937,99.9%,99.5%,98.9%,100.0%,30.9%,0.3%,0.0%,68.7%,https://stacks.cdc.gov/view/cdc/23447
HIV,Antigen/antibody,Dubravac 2013,13,3,0,2021,2037,100.0%,99.9%,81.3%,100.0%,0.6%,0.1%,0.0%,99.2%,https://stacks.cdc.gov/view/cdc/23447
HIV,Antigen/antibody,Masciotra 2011,415,0,1,414,830,99.8%,100.0%,100.0%,99.8%,50.0%,0.0%,0.1%,49.9%,https://stacks.cdc.gov/view/cdc/23447
HIV,Antigen/antibody,Nasrullah 2013,493,9,0,10003,10505,100.0%,99.9%,98.2%,100.0%,4.7%,0.1%,0.0%,95.2%,https://stacks.cdc.gov/view/cdc/23447
HIV,Antigen/antibody,Product insert 2010,1068,14,0,6113,7195,100.0%,99.8%,98.7%,100.0%,14.8%,0.2%,0.0%,85.0%,https://stacks.cdc.gov/view/cdc/23447
HIV,Antigen/antibody,Product insert 2011,1300,9,0,6987,8296,100.0%,99.9%,99.3%,100.0%,15.7%,0.1%,0.0%,84.2%,https://stacks.cdc.gov/view/cdc/23447
Lung cancer,Low-dose CT,Infante 2015,66,289,17,892,1264,79.5%,75.5%,18.6%,98.1%,5.2%,22.9%,1.3%,70.6%,https://www.ncbi.nlm.nih.gov/books/NBK568573/
Lung cancer,Low-dose CT,Lopes Pegna 2013,38,1005,2,361,1406,95.0%,26.4%,3.6%,99.4%,2.7%,71.5%,0.1%,25.7%,https://www.ncbi.nlm.nih.gov/books/NBK568573/
Lung cancer,Low-dose CT,Becker 2015,58,747,4,1219,2028,93.5%,62.0%,7.2%,99.7%,2.9%,36.8%,0.2%,60.1%,https://www.ncbi.nlm.nih.gov/books/NBK568573/
Lung cancer,Low-dose CT,Sverzellati 2016,37,54,17,6513,6621,68.5%,99.2%,40.7%,99.7%,0.6%,0.8%,0.3%,98.4%,https://www.ncbi.nlm.nih.gov/books/NBK568573/
Lung cancer,Low-dose CT,Sverzellati 2016,25,34,9,4393,4461,73.5%,99.2%,42.4%,99.8%,0.6%,0.8%,0.2%,98.5%,https://www.ncbi.nlm.nih.gov/books/NBK568573/
Lung cancer,Low-dose CT,De Koning 2020,203,264,141,5975,6583,59.0%,95.8%,43.5%,97.7%,3.1%,4.0%,2.1%,90.8%,https://www.ncbi.nlm.nih.gov/books/NBK568573/
Lung cancer,Low-dose CT,Pinsky 2013,649,17492,44,56941,75126,93.7%,76.5%,3.6%,99.9%,0.9%,23.3%,0.1%,75.8%,https://www.ncbi.nlm.nih.gov/books/NBK568573/
Prostate cancer,PSA,Gann 1995,170,96,196,1002,1464,46.4%,91.3%,63.9%,83.6%,11.6%,6.6%,13.4%,68.4%,https://pubmed.ncbi.nlm.nih.gov/7529341/
Prostate cancer,PSA,Jacobsen 1996,168,28,29,277,502,85.3%,90.8%,85.7%,90.5%,33.5%,5.6%,5.8%,55.2%,https://pubmed.ncbi.nlm.nih.gov/8944739/
Prostate cancer,PSA,Mettlin 1996,135,941,60,8059,9195,69.2%,89.5%,12.5%,99.3%,1.5%,10.2%,0.7%,87.6%,https://pubmed.ncbi.nlm.nih.gov/8630923/
Syphilis,RPR,Liu 2014,4334,121,1537,40864,46856,73.8%,99.7%,97.3%,96.4%,9.2%,0.3%,3.3%,87.2%,https://pubmed.ncbi.nlm.nih.gov/24803377/
Syphilis,RPR,Pettit 1983,17,3,0,271,291,100.0%,98.9%,85.0%,100.0%,5.8%,1.0%,0.0%,93.1%,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC272857/
Syphilis,RPR,Wang 2016,13,17,7,3925,3962,65.0%,99.6%,43.3%,99.8%,0.3%,0.4%,0.2%,99.1%,https://pubmed.ncbi.nlm.nih.gov/26313112/
Syphilis,VDRL,Larsen 1981,278,6,50,560,894,84.8%,98.9%,97.9%,91.8%,31.1%,0.7%,5.6%,62.6%,https://pubmed.ncbi.nlm.nih.gov/7026610/
Syphilis,VDRL,Pettit 1983,17,4,0,270,291,100.0%,98.5%,81.0%,100.0%,5.8%,1.4%,0.0%,92.8%,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC272857/